cdatetime,address,district,beat,grid,crimedescr
1/1/06 0:01,3816 CYPRESS ST,2,2A        ,503,459 PC  BURGLARY RESIDENCE
1/1/06 0:01,1211 23RD ST,3,3B        ,747,484G(A)PC USE FORGED CARD
1/1/06 0:01,7001 EAST PKWY,6,6C        ,1427,503 PC   EMBEZZLEMENT
1/1/06 0:01,918 LAKE FRONT DR,4,4C        ,1294,TELEPEST -I RPT
1/1/06 0:01,4851 KOKOMO DR,1,1A        ,123,487(A) GRAND THEFT-INSIDE
1/1/06 0:01,2377 OAK HARBOUR DR,1,1B        ,440,653M(A) PC OBSCENE/THREAT CALL
1/1/06 0:01,1823 P ST,3,3B        ,766,484 PETTY THEFT/LICENSE PLATE
1/1/06 0:01,1100 14TH ST,3,3M        ,745,FOUND PROPERTY - I RPT
1/1/06 0:01,3301 ARENA BLVD,1,1A        ,303,530.5 PC USE PERSONAL ID INFO
1/1/06 0:01,1088 PREGO WAY,1,1B        ,404,530.5 PC USE PERSONAL ID INFO
1/1/06 0:01,3259 SPINNING ROD WAY,1,1B        ,475,484J PC PUBLISH CARD INFO
1/1/06 0:01,1010 J ST,3,3M        ,744,THREATS - I RPT
1/1/06 0:01,400 BANNON ST,3,3A        ,704,530 PC FALSE PERS. REC PROP
1/1/06 0:10,6115 63RD ST,6,6B        ,1421,246 PC SHOOT OCCUP DWELL/VEH
1/1/06 0:15,47 FIRE LEAF CT,2,2A        ,212,10851(A)VC TAKE VEH W/O OWNER
1/1/06 0:18,5140 61ST ST,6,6B        ,1087,SHOOT INTO OCCUP DWELL - I RPT
1/1/06 0:19,1814 19TH ST,3,3A        ,776,FOUND PROPERTY - I RPT
1/1/06 0:24,6940 27TH ST,4,4B        ,1356,243(E)1 BATTERY NONCOHAB SPOUS
1/1/06 0:25,3820 65TH ST,6,6B        ,1058,MISCELLANEOUS I RPT (ZMISC)
1/1/06 0:27,2829 FLORIN RD,4,4B        ,1356,TOWED/STORED VEH-14602.6
1/1/06 0:30,1080 APPOLLO WAY,4,4A        ,1203,10851(A)VC TAKE VEH W/O OWNER
1/1/06 0:30,6571 WEATHERFORD WAY,5,5C        ,1635,10851(A)VC TAKE VEH W/O OWNER
1/1/06 0:30,930 43RD AVE,4,4C        ,1253,10851(A)VC TAKE VEH W/O OWNER
1/1/06 0:31,2830 E ST,3,3B        ,728,211 PC ROBBERY- BUSINESS
1/1/06 0:36,NORTHGATE BLVD / W SILVER EAGLE RD,1,1C        ,419,CASUALTY REPORT
1/1/06 0:36,6665 STOCKTON BLVD,6,6C        ,1441,459 PC  BURGLARY BUSINESS
1/1/06 0:39,7811 DEER MEADOW DR,5,5B        ,1616,246 PC SHOOT OCCUP DWELL/VEH
1/1/06 0:40,3RD ST / O ST,3,3A        ,762,23152(A) VC DUI-ALCOHOL/DRUGS
1/1/06 0:46,27TH ST / J ST,3,3B        ,738,TRAFFIC-ACCIDENT INJURY
1/1/06 0:55,8TH ST / L ST,3,3M        ,742,DUI I RPT
1/1/06 1:00,7850 COLLEGE TOWN DR,3,3C        ,888,484 PETTY THEFT/LICENSE PLATE
1/1/06 1:00,63RD ST / JANSEN DR,6,6B        ,1402,23152(A) VC DUI-ALCOHOL/DRUGS
1/1/06 1:00,11 ALCANON CT,1,1B        ,353,459 PC  BURGLARY VEHICLE
1/1/06 1:00,TRUXEL RD / SAGINAW CIR,1,1B        ,414,10851(A)VC TAKE VEH W/O OWNER
1/1/06 1:00,2600 N ST,3,3B        ,768,459 PC  BURGLARY VEHICLE
1/1/06 1:06,4740 BECKET WAY,5,5B        ,1631,459 PC  BURGLARY RESIDENCE
1/1/06 1:30,CALVINE RD / CENTER PKWY,5,5C        ,1645,243(D) PC BATT/CIVILIAN W/INJ
1/1/06 1:30,6625 VALLEY HI DR,5,5C        ,1623,10851(A)VC TAKE VEH W/O OWNER
1/1/06 1:51,RAINBOW AVE / HOWE AVE,2,2C        ,558,246.3 PC NEGL DISCH FIREARM
1/1/06 2:00,2500 FLORIN RD,5,5A        ,1363,487(A) PC GRAND THEFT
1/1/06 2:09,3012 ALBATROSS WAY,2,2C        ,567,CASUALTY REPORT
1/1/06 2:10,1426 BREWERTON DR,1,1B        ,435,246 PC SHOOT OCCUP DWELL/VEH
1/1/06 2:14,FRONT ST / K ST,3,3M        ,741,LOST PROPERTY - I RPT
1/1/06 2:30,3807 24TH AVE,6,6A        ,1071,CASUALTY REPORT
1/1/06 2:40,EMPRESS ST / ARDEN WAY,2,2C        ,603,11351.5 HS POSS SALE RCK COCAI
1/1/06 2:40,1415 L ST,3,3M        ,745,211 PC  ROBBERY UNSPECIFIED
1/1/06 2:47,2737 SCREECH OWL WAY,1,1A        ,344,594(B)(2)(A) VANDALISM/ -$400
1/1/06 2:54,1900 CANTERBURY RD,2,2C        ,613,243(E)1 BATTERY NONCOHAB SPOUS
1/1/06 3:00,7769 AMHERST ST,5,5A        ,1501,10851(A)VC TAKE VEH W/O OWNER
1/1/06 3:00,100 ROCKMONT CIR,1,1A        ,103,594(B)(2)(A) VANDALISM/ -$400
1/1/06 3:28,8032 TORRENTE WAY,5,5B        ,1618,459 PC  BURGLARY RESIDENCE
1/1/06 3:30,POWER INN RD / ELDER CREEK RD,6,6C        ,1406,TRAFFIC-ACCIDENT-NON INJURY
1/1/06 3:52,1125 ALHAMBRA BLVD,3,3C        ,841,475(C) PASS FORGED NOTE
1/1/06 4:00,4128 NORWOOD AVE,2,2A        ,233,245(A)(2) AWDW/FIREARM/CIVILIA
1/1/06 4:00,HONOR PKWY / REGENCY PARK CIR,1,1A        ,106,11377(A)HS POSS AMPHETAMINES
1/1/06 4:00,3 CLOE CT,1,1A        ,115,487(A) GRAND THEFT-INSIDE
1/1/06 4:00,8454 COEBURN ST,5,5C        ,1644,459 PC  BURGLARY VEHICLE
1/1/06 4:00,5620 34TH AVE,6,6B        ,1401,459 PC  BURGLARY VEHICLE
1/1/06 4:15,BROADWAY / 16TH ST,4,4A        ,906,TRAFFIC-ACCIDENT-NON INJURY
1/1/06 4:15,1414 43RD ST,3,3C        ,844,484 PC   PETTY THEFT/INSIDE
1/1/06 4:20,FLORIN RD / MUNSON WAY,5,5B        ,1359,TOWED/STORED VEH-14602.6
1/1/06 4:30,1 CLAUSS CT,6,6B        ,1084,10851(A)VC TAKE VEH W/O OWNER
1/1/06 5:14,MACK RD / CENTER PKWY,5,5B        ,1606,20002(A) HIT/RUN
1/1/06 5:22,1426 I ST,3,3M        ,735,5150 WI DANGER SELF/OTHERS
1/1/06 6:00,MACK RD / CENTER PKWY,5,5B        ,1606,TOWED/STORED VEHICLE
1/1/06 6:00,1236 EL ENCANTO WAY,4,4C        ,1278,487(A) PC GRAND THEFT
1/1/06 6:10,2801 L ST,3,3B        ,748,IMPOUNDED VEHICLE
1/1/06 6:27,2884 DEL PASO BLVD,2,2B        ,564,10851(A)VC TAKE VEH W/O OWNER
1/1/06 6:46,J ST / 29TH ST,3,3B        ,738,20002(A) HIT/RUN
1/1/06 7:00,2518 HAWTHORNE ST,2,2B        ,551,459 PC  BURGLARY RESIDENCE
1/1/06 7:20,AZEVEDO DR / YARWOOD WAY,1,1B        ,411,PERSON INFORMATION - I RPT
1/1/06 7:30,6021 WILKINSON ST,6,6C        ,1404,653M(B) PC ANNOY/RPT CALL HOME
1/1/06 7:45,1200 ROANOKE AVE,2,2A        ,514,459 PC  BURGLARY VEHICLE
1/1/06 7:46,RIO LINDA BLVD / MAIN AVE,2,2A        ,224,20002(A) HIT/RUN
1/1/06 7:55,398 FLORIN RD,4,4C        ,1259,211 PC ROBBERY- BUSINESS
1/1/06 7:55,525 EXCHANGE ST,2,2A        ,213,CASUALTY REPORT
1/1/06 8:00,535 LAMPASAS AVE,2,2B        ,552,594(B)(2)(A) VANDALISM/ -$400
1/1/06 8:00,12 GRAND CANYON CT,1,1A        ,136,LOST PROPERTY - I RPT
1/1/06 8:00,3709 PRESIDIO ST,2,2A        ,516,LOST PROPERTY - I RPT
1/1/06 8:00,FLORIN RD / FRANKLIN BLVD,5,5B        ,1359,LOST PROPERTY - I RPT
1/1/06 8:00,3615 33RD ST,6,6A        ,1041,484J PC PUBLISH CARD INFO
1/1/06 8:00,2324 NORTH AVE,2,2A        ,237,LOST PROPERTY - I RPT
1/1/06 8:00,2800 CHATEAU MONTELENA WAY,1,1A        ,333,530 PC FALSE PERS. REC PROP
1/1/06 8:00,1820 FRIENZA AVE,2,2C        ,568,459 PC  BURGLARY BUSINESS
1/1/06 8:00,2230 J ST,3,3B        ,747,1708 US   THEFT OF MAIL
1/1/06 8:00,6581 HARMON DR,4,4C        ,1252,LOST PROPERTY - I RPT
1/1/06 8:00,6054 RIVERSIDE BLVD,4,4C        ,1251,530.5 PC USE PERSONAL ID INFO
1/1/06 8:00,1545 RIVER PARK DR,2,2C        ,626,484 PETTY THEFT CLOUT UNLOCKED
1/1/06 8:00,1287 TRAIL END WAY,1,1B        ,403,484G(B) PC ACCESS CARD FRAUD
1/1/06 8:00,2215 BORONA WAY,1,1B        ,410,530 PC FALSE PERS. REC PROP
1/1/06 8:00,6 SHELTER POINT CT,4,4C        ,1262,TELEPEST -I RPT
1/1/06 8:00,970 FRIENZA AVE,2,2B        ,564,SUSP PERS-NO CRIME - I RPT
1/1/06 8:00,1631 W EL CAMINO AVE,1,1B        ,434,530 PC FALSE PERS. REC PROP
1/1/06 8:05,SWEET PEA WAY / SHADY ARBOR CT,1,1B        ,473,10851 VC AUTO THEFT LOCATE
1/1/06 8:57,RIO LINDA BLVD / MAIN AVE,2,2A        ,224,TOWED/STORED VEHICLE
1/1/06 9:00,5878 KAHARA CT,4,4C        ,1225,653M(B) PC ANNOY/RPT CALL HOME
1/1/06 9:15,18 GODELLO CT,1,1B        ,353,242 PC  BATTERY CIVILIAN
1/1/06 9:15,7850 COLLEGE TOWN DR,3,3C        ,888,11377(A)HS POSS AMPHETAMINES
1/1/06 9:30,4947 KOKOMO DR,1,1A        ,123,TOWED/STORED VEHICLE
1/1/06 9:45,HOWE AVE / AMERICAN RIVER DR,3,3C        ,877,TOWED/STORED VEHICLE
1/1/06 9:53,4650 NATOMAS BLVD,1,1A        ,145,506 PC EMBEZZLEMENT/CONTRACTOR
1/1/06 10:00,3724 SAN CARLOS WAY,6,6A        ,1042,MISSING PERSON I RPT
1/1/06 10:00,4410 CRESTWOOD WAY,4,4A        ,1205,BURGLARY - I RPT
1/1/06 10:00,1500 TESSA AVE,2,2B        ,546,TOWED/STORED VEHICLE
1/1/06 10:00,7500 HOSPITAL DR,5,5C        ,1639,THREATS - I RPT
1/1/06 10:00,8545 FOLSOM BLVD,3,3C        ,1116,MISSING PERSON
1/1/06 10:30,8105 PHINNEY DR,5,5B        ,1618,459 PC  BURGLARY RESIDENCE
1/1/06 10:30,401 J ST,3,3M        ,732,594(B)(2)(A) VANDALISM/ -$400
1/1/06 11:00,3632 52ND ST,6,6B        ,1054,459 PC  BURGLARY RESIDENCE
1/1/06 11:01,SAN FRANCISCO BLVD / 50TH ST,6,6B        ,1064,11364 HS POSS DRUG PARAPH
1/1/06 11:04,5524 DANJAC CIR,4,4A        ,1207,TOWED/STORED VEHICLE
1/1/06 11:08,2571 ALTOS AVE,2,2B        ,552,CASUALTY REPORT
1/1/06 11:10,414 K ST,3,3M        ,742,484 PETTY THEFT-SHOPLIFT
1/1/06 11:30,7486 CARELLA DR,5,5A        ,1381,MISSING PERSON
1/1/06 11:30,7TH ST / J ST,3,3M        ,732,11364 HS POSS DRUG PARAPH
1/1/06 11:30,5701 LERNER WAY,5,5C        ,1605,MISSING PERSON
1/1/06 11:46,1321 E ST,3,3A        ,715,HARASSMENT - I RPT
1/1/06 11:49,1912 BOWLING GREEN DR,2,2C        ,606,O/S AGENCY -ASSISTANCE- I RPT
1/1/06 12:00,3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON
1/1/06 12:00,7526 TITIAN PKWY,5,5B        ,1603,10851(A)VC TAKE VEH W/O OWNER
1/1/06 12:00,12 WATERGLEN CIR,3,3C        ,899,487(D)GRAND THEFT FIREARM/ANIM
1/1/06 12:00,4733 NASHUA WAY,2,2A        ,222,484G(B) PC ACCESS CARD FRAUD
1/1/06 12:00,971 ACACIA AVE,2,2B        ,544,LOST PROPERTY - I RPT
1/1/06 12:00,3146 PALMER ST,2,2B        ,546,530.5 PC USE PERSONAL ID INFO
1/1/06 12:00,8178 CENTER PKWY,5,5B        ,1633,653M(A) PC OBSCENE/THREAT CALL
1/1/06 12:30,1820 FRIENZA AVE,2,2C        ,568,459 PC  BURGLARY BUSINESS
1/1/06 12:45,1689 ARDEN WAY,2,2C        ,619,647(A) PC LEWD CONDUCT
1/1/06 12:45,1029 FRIENZA AVE,2,2B        ,564,TOWED/STORED VEHICLE
1/1/06 13:00,5770 FREEPORT BLVD,4,4C        ,985,GANG ACTIVITY - I RPT
1/1/06 13:10,1113 CONGRESS AVE,2,2B        ,525,11364 HS POSS DRUG PARAPH
1/1/06 13:49,3421 AUBURN BLVD,2,2A        ,508,459 PC  BURGLARY-UNSPECIFIED
1/1/06 14:00,560 SANDBURG DR,3,3C        ,879,530.5 PC USE PERSONAL ID INFO
1/1/06 14:40,7608 AMHERST ST,5,5A        ,1501,HARASSMENT - I RPT
1/1/06 14:57,3801 DUCKHORN DR,1,1A        ,333,422 PC THREAT/INTENT TO TERROR
1/1/06 14:59,5TH ST / P ST,3,3A        ,763,CASUALTY REPORT
1/1/06 15:00,7301 MEADOWGATE DR,5,5B        ,1369,10851(A)VC TAKE VEH W/O OWNER
1/1/06 15:00,5518 SAGPOND WAY,1,1A        ,102,484J PC PUBLISH CARD INFO
1/1/06 15:13,33RD ST / 11TH AVE,6,6A        ,1041,20001(A) VC HIT/RUN INJ/DEATH
1/1/06 15:30,35 QUAY CT,4,4C        ,1265,10851(A)VC TAKE VEH W/O OWNER
1/1/06 15:30,1814 19TH ST,3,3A        ,776,484 PETTY THEFT-SHOPLIFT
1/1/06 15:30,2505 52ND AVE,4,4B        ,1346,LOST PROPERTY - I RPT
1/1/06 15:36,5770 FREEPORT BLVD,4,4C        ,985,FOUND PROPERTY - I RPT
1/1/06 15:40,1751 BELL AVE,2,2A        ,226,TOWED/STORED VEHICLE
1/1/06 16:00,3661 TRUXEL RD,1,1A        ,337,484 PC   PETTY THEFT/INSIDE
1/1/06 16:00,3904 MAY ST,2,2A        ,504,MISSING PERSON
1/1/06 16:00,1650 BAINES AVE,1,1A        ,136,459 PC  BURGLARY RESIDENCE
1/1/06 16:00,6272 MACK RD,5,5C        ,1623,487(A) PC GRAND THEFT
1/1/06 16:00,8389 FOLSOM BLVD,3,3C        ,1115,484 PC   PETTY THEFT/INSIDE
1/1/06 16:25,FOLSOM BLVD / WATT AVE,3,3C        ,1106,NON INJ HR/MAIL OUT REPORT
1/1/06 16:30,1801 BELL AVE,2,2A        ,226,TOWED/STORED VEHICLE
1/1/06 16:51,2314 Q ST,3,3B        ,767,TRAFFIC-ACCIDENT-NON INJURY
1/1/06 16:57,2340 MOSSY BANK DR,1,1B        ,444,10851(A)VC TAKE VEH W/O OWNER
1/1/06 16:57,8101 COSUMNES RIVER BLVD,5,5C        ,1639,11364 HS POSS DRUG PARAPH
1/1/06 16:59,J ST / 17TH ST,3,3M        ,736,TRAFFIC-ACCIDENT-NON INJURY
1/1/06 17:00,8200 CENTER PKWY,5,5B        ,1633,10851(A)VC TAKE VEH W/O OWNER
1/1/06 17:00,6421 SUN RIVER DR,6,6C        ,1445,484 PETTY THEFT/LICENSE PLATE
1/1/06 17:00,3715 IVY ST,2,2A        ,516,459 PC  BURGLARY RESIDENCE
1/1/06 17:00,3157 BRIDGEFORD DR,1,1C        ,416,LOST PROPERTY - I RPT
1/1/06 17:30,11TH ST / F ST,3,3A        ,724,197 JUSTIFIABLE HOMI-CIVILIAN
1/1/06 17:37,17TH ST / Q ST,3,3B        ,766,TRAFFIC-ACCIDENT-NON INJURY
1/1/06 17:41,FRUITRIDGE RD / 53RD ST,6,6B        ,1084,20001(A) VC HIT/RUN INJ/DEATH
1/1/06 17:41,5301 FRUITRIDGE RD,6,6B        ,1084,23153(A) VC DUI CAUSE INJURY
1/1/06 18:00,2890 GROVE AVE,2,2B        ,541,245(A)(1)AWDW/NO FIREARM/CIVIL
1/1/06 18:00,2828 CONNIE DR,2,2C        ,567,MISSING PERSON
1/1/06 18:00,3700 32ND ST,6,6A        ,1051,594(B)(1)PC  VANDALISM +$400
1/1/06 18:00,1632 BROADWAY,4,4A        ,906,594(B)(2)(A) VANDALISM/ -$400
1/1/06 18:10,1729 DIGGS PARK DR,2,2B        ,537,TRAFFIC-ACCIDENT-NON INJURY
1/1/06 18:19,5301 FRUITRIDGE RD,6,6B        ,1084,TOWED/STORED VEHICLE
1/1/06 18:23,2700 DEL PASO RD,1,1A        ,305,484 PETTY THEFT-SHOPLIFT
1/1/06 18:55,7290 FRANKLIN BLVD,5,5B        ,1369,211 PC  ROBBERY UNSPECIFIED
1/1/06 18:55,700 N 5TH ST,3,3A        ,701,1551(A) FUGITIVE FROM JUSTICE
1/1/06 19:00,321 ELEANOR AVE,2,2B        ,541,MISSING PERSON
1/1/06 19:00,321 ELEANOR AVE,2,2B        ,541,MISSING PERSON
1/1/06 19:00,7659 MASTERS ST,5,5C        ,1654,10851(A)VC TAKE VEH W/O OWNER
1/1/06 19:00,3644 DAYTON ST,2,2A        ,517,459 PC  BURGLARY VEHICLE
1/1/06 19:00,2800 BROADWAY,4,4A        ,908,484 PC   PETTY THEFT/INSIDE
1/1/06 19:11,1418 E ST,3,3A        ,725,MISCELLANEOUS I RPT (ZMISC)
1/1/06 19:40,3514 37TH ST,6,6A        ,1041,459 PC  BURGLARY VEHICLE
1/1/06 19:59,227 JIBBOOM ST,3,3A        ,721,484 PC   PETTY THEFT/INSIDE
1/1/06 20:00,78 REDWOOD AVE,2,2C        ,601,10851(A)VC TAKE VEH W/O OWNER
1/1/06 20:00,3311 LONG BRANCH CT,1,1B        ,401,459 PC  BURGLARY VEHICLE
1/1/06 20:00,1601 ARDEN WAY,2,2C        ,618,459 PC  BURGLARY VEHICLE
1/1/06 20:00,1701 13TH ST,3,3A        ,765,TELEPEST -I RPT
1/1/06 20:05,7770 52ND AVE,6,6C        ,1445,459 PC  BURGLARY RESIDENCE
1/1/06 20:30,2621 STONECREEK DR,1,1B        ,435,THREATS - I RPT
1/1/06 20:40,EL CAMINO AVE / GROVE AVE,2,2C        ,551,TOWED/STORED VEHICLE
1/1/06 20:49,3200 TRUXEL RD,1,1C        ,414,THREATS - I RPT
1/1/06 21:00,2540 VENTURE OAKS WAY,1,1B        ,442,10851(A)VC TAKE VEH W/O OWNER
1/1/06 21:00,1732 ELDRIDGE AVE,2,2B        ,556,487(A) GRAND THEFT-INSIDE
1/1/06 21:10,23RD ST / Q ST,3,3B        ,767,20001(A) VC HIT/RUN INJ/DEATH
1/1/06 21:11,NORTHGATE BLVD / ROSIN CT,1,1C        ,409,20002(A) HIT/RUN
1/1/06 21:15,5530 STOCKTON BLVD,6,6B        ,1084,12020(A)(4) PC DIRK/DAGGER
1/1/06 21:33,FRANKLIN BLVD / FLORIN RD,5,5B        ,1359,20001(A) VC HIT/RUN INJ/DEATH
1/1/06 22:00,1609 BOWLING GREEN DR,2,2C        ,606,10851(A)VC TAKE VEH W/O OWNER
1/1/06 22:00,1422 BREWERTON DR,1,1B        ,435,10851(A)VC TAKE VEH W/O OWNER
1/1/06 22:00,2000 DEL PASO BLVD,2,2C        ,603,11364 HS POSS DRUG PARAPH
1/1/06 22:00,MCGLASHAN ST / PERRY AVE,6,6B        ,1084,20002(A) HIT/RUN
1/1/06 22:00,PERRY AVE / 46TH ST,6,6B        ,1084,20002(A) HIT/RUN
1/1/06 22:00,8552 ERINBROOK WAY,3,3C        ,899,459 PC  BURGLARY VEHICLE
1/1/06 22:00,4100 NORTHGATE BLVD,1,1C        ,309,459 PC  BURGLARY VEHICLE
1/1/06 22:00,7901 34TH AVE,6,6C        ,1405,594(B)(2)(A) VANDALISM/ -$400
1/1/06 22:10,630 JESSIE AVE,2,2A        ,233,245(A)(1)AWDW/NO FIREARM/CIVIL
1/1/06 22:28,4 WAYNE CT,6,6C        ,1409,VANDALISM - I RPT
1/1/06 22:30,3800 STOCKTON BLVD,6,6A        ,1053,10851(A)VC TAKE VEH W/O OWNER
1/1/06 22:30,5907 BAMFORD DR,5,5C        ,1623,11364 HS POSS DRUG PARAPH
1/1/06 22:30,5425 RIO LINDA BLVD,2,2A        ,203,10851(A)VC TAKE VEH W/O OWNER
1/1/06 22:36,2ND ST / I ST,3,3M        ,731,243(D) PC BATT/CIVILIAN W/INJ
1/1/06 22:45,23RD ST / J ST,3,3B        ,737,245(A)(1)AWDW/NO FIREARM/CIVIL
1/1/06 22:54,2116 MABRY DR,1,1A        ,104,THREATS - I RPT
1/1/06 23:00,1906 BOWLING GREEN DR,2,2C        ,606,242 PC  BATTERY CIVILIAN
1/1/06 23:00,330 U ST,3,3A        ,782,487(A) PC GRAND THEFT
1/1/06 23:05,PRINCETON ST / GLENROSE AVE,2,2C        ,567,10851 VC AUTO THEFT LOCATE
1/1/06 23:14,INDIANA AVE / NORTHGATE BLVD,1,1C        ,429,20001(A) VC HIT/RUN INJ/DEATH
1/1/06 23:16,LEXINGTON ST / FRIENZA AVE,2,2B        ,564,10851 VC AUTO THEFT LOCATE
1/1/06 23:20,65 BRENTFORD CIR,5,5C        ,1635,10851(A)VC TAKE VEH W/O OWNER
1/1/06 23:30,VALLEY HI DR / CENTER PKWY,5,5B        ,1623,TOWED/STORED VEH-14602.6
1/1/06 23:45,34TH ST / Y ST,6,6A        ,1002,ROBBERY - I RPT
1/1/06 23:45,13TH ST / G ST,3,3A        ,725,459 PC  BURGLARY VEHICLE
1/1/06 23:59,1311 63RD ST,3,3C        ,847,459 PC  BURGLARY VEHICLE
1/2/06 0:00,4911 8TH AVE,6,6B        ,1035,POSS STOLEN VEHICLE- I RPT
1/2/06 0:00,3845 SEA FOREST WAY,5,5B        ,1618,487(A) GRAND THEFT-AUTO PARTS
1/2/06 0:00,2481 KRAMERIA AVE,1,1A        ,104,459 PC  BURGLARY RESIDENCE
1/2/06 0:00,6550 PARK RIVIERA WAY,4,4C        ,1261,594(B)(1)PC  VANDALISM +$400
1/2/06 0:01,2531 S ST,3,3B        ,778,594(B)(2)(A) VANDALISM/ -$400
1/2/06 0:01,6730 4TH AVE,6,6C        ,1111,484 PC  PETTY THEFT AUTO PART
1/2/06 0:01,200 BICENTENNIAL CIR,3,3C        ,1102,594(B)(2)(A) VANDALISM/ -$400
1/2/06 0:01,2311 RIVER PLAZA DR,1,1B        ,440,459 PC  BURGLARY VEHICLE
1/2/06 0:01,3251 SAN JOSE WAY,6,6A        ,1032,484 PC  PETTY THEFT/ OUTSIDE
1/2/06 0:02,12TH AVE / LISSETTA AVE,6,6A        ,1042,529 PC FALSE PERSONATION
1/2/06 0:05,3345 MABEL ST,2,2B        ,531,11364 HS POSS DRUG PARAPH
1/2/06 0:30,1549 JANRICK AVE,5,5A        ,1501,459 PC  BURGLARY RESIDENCE
1/2/06 0:31,4108 WEYMOUTH LN,5,5B        ,1602,VANDALISM - I RPT
1/2/06 1:00,621 CLAIRE AVE,2,2A        ,203,459 PC  BURGLARY RESIDENCE
1/2/06 1:30,930 43RD AVE,4,4C        ,1253,487(A) GRAND THEFT-AUTO PARTS
1/2/06 1:38,SAN JUAN RD / BANDON WAY,1,1B        ,401,496(A) RECEIVE STOLEN PROPERTY
1/2/06 1:41,24TH ST / TEEKAY WAY,5,5A        ,1504,11357(B)HS POSS -28.5GR MARIJ
1/2/06 1:56,BRUCEVILLE RD / CALVINE RD,5,5C        ,1654,TRAFFIC-ACCIDENT-NON INJURY
1/2/06 2:00,2912 CAMARILLO DR,1,1C        ,428,FOUND PROPERTY - I RPT
1/2/06 2:00,8461 TAMBOR WAY,5,5C        ,1654,594(B)(1)PC  VANDALISM +$400
1/2/06 2:19,6421 RIVERSIDE BLVD,4,4C        ,1262,459 PC  BURGLARY BUSINESS
1/2/06 3:00,7553 GREENHAVEN DR,4,4C        ,1296,459 PC  BURGLARY VEHICLE
1/2/06 5:00,35TH ST / BROADWAY,6,6A        ,1013,NON INJ HR/MAIL OUT REPORT
1/2/06 6:12,15TH ST / C ST,3,3A        ,715,TOWED/STORED VEHICLE
1/2/06 6:24,1595 SILICA AVE,2,2C        ,605,TOWED/STORED VEHICLE
1/2/06 6:25,ELIZA ST / LOUISE ST,3,3A        ,709,243(E)1 BATTERY NONCOHAB SPOUS
1/2/06 6:30,1240 ALDER TREE WAY,4,4C        ,1296,10851(A)VC TAKE VEH W/O OWNER
